method,random_seed,success,goal_and_formation_completed,completion_time_s,total_flight_distance_m,mean_formation_error_m,max_formation_error_m,final_formation_error_m,minimum_obstacle_clearance_m,minimum_inter_uav_distance_m,local_minimum_detection_count,escape_activation_count,obstacle_collision_count,uav_collision_count,total_collision_count,escape_max_abs_roll_deg,escape_max_abs_pitch_deg,attitude_change_rms_deg_per_s,max_actual_speed_m_per_s,simulation_exception,error_message
standard_apf,3,False,False,,102.73286605485644,0.5232323865246461,14.930634841334543,0.01653304204962575,1.763533708236223,2.5190195197533582,1,0,0,0,0,0.0,0.0,12.8567378189116,2.999999933743236,False,
standard_apf,7,False,False,,102.65863091130589,0.523575174838951,14.964936421373945,0.01653304204962575,1.763533708236223,2.5717775243541543,1,0,0,0,0,0.0,0.0,12.864808291403826,2.999999933743236,False,
standard_apf,11,False,False,,104.19703323614323,0.5305598685318228,14.963394672295074,0.01653304204962575,1.763533708236223,2.5169920864495094,1,0,0,0,0,0.0,0.0,12.813258165524237,2.999999933743236,False,
standard_apf,19,False,False,,99.76102888710454,0.5101930697895445,14.945764424139119,0.01653304204962575,1.763533708236223,2.4937139753741886,1,0,0,0,0,0.0,0.0,13.736419487398992,2.999999933743236,False,
standard_apf,23,False,False,,101.85932303432173,0.5184638086522219,14.911264268359849,0.01653304204962575,1.763533708236223,2.51965210712445,1,0,0,0,0,0.0,0.0,12.949651050389773,2.999999933743236,False,
standard_apf,31,False,False,,102.64215824181923,0.522217281798451,14.92511181194785,0.01653304204962575,1.763533708236223,0.7974286826711522,1,0,0,0,0,0.0,0.0,13.527686756420348,2.999999933743236,False,
standard_apf,42,False,False,,98.59315091085966,0.5055911623008288,14.875373232804419,0.01653304204962575,1.763533708236223,2.5464880873711846,1,0,0,0,0,0.0,0.0,13.773338986812695,2.999999933743236,False,
standard_apf,57,False,False,,100.65490399170118,0.5123177082549315,14.908335407908487,0.01653304204962575,1.763533708236223,2.534152343512533,1,0,0,0,0,0.0,0.0,13.191485949555226,2.999999933743236,False,
standard_apf,73,True,True,55.050000000000004,291.1171737931474,2.1617670747521487,14.851267687479256,0.9878356690135224,1.5497282085179183,2.2959265489291285,1,0,0,0,0,0.0,0.0,20.875398021224708,2.9999999999422555,False,
standard_apf,91,False,False,,102.55440088616707,0.5234499942972616,14.924672524195088,0.01653304204962575,1.763533708236223,2.539902105145723,1,0,0,0,0,0.0,0.0,12.894151333110631,2.999999933743236,False,
improved_apf,3,True,True,44.400000000000006,418.97645420570416,4.715710403582793,14.930634841334543,0.9792394089153351,1.548699359102798,1.1933510577861655,4,4,0,0,0,1.2461653480711812,2.954740984939983,43.68654978338198,2.999999999947732,False,
improved_apf,7,True,True,45.95,436.38003711996265,4.8503231268407925,14.964936421373945,0.9932815730828517,1.5489086158421974,1.1920575719398387,5,5,0,0,0,1.2461653480711812,3.0398268578134435,45.126117114148094,2.999999999951826,False,
improved_apf,11,True,True,43.25,414.6672896492201,4.774726249663127,14.963394672295074,0.9950834962176027,1.5486622458779553,1.191394689629312,4,4,0,0,0,1.2461653480711812,2.927253548329633,43.611109967064635,2.999999999950709,False,
improved_apf,19,True,True,48.7,447.5868492955459,4.766740718464716,14.945764424139119,0.9899701107799853,1.5493730426170618,1.1937081963049885,5,5,0,0,0,1.2461653480711812,3.135786853560575,47.04913791582023,2.9999999999413607,False,
improved_apf,23,True,True,45.7,433.9160372645755,4.835606299897681,14.911264268359849,0.9929476440776451,1.5489668663505183,1.1930303250215935,5,5,0,0,0,1.2461653480711812,2.9971534150364207,44.89152404719515,2.9999999999520215,False,
improved_apf,31,True,True,53.75,494.3163313965466,4.971928751042047,14.92511181194785,0.9843260704674814,1.549405271153782,0.7974286826711522,7,7,0,0,0,1.2461653480711812,3.1628767736677457,51.40126348578224,2.9999999999453046,False,
improved_apf,42,True,True,43.550000000000004,409.82536086369976,4.689961152412679,14.875373232804419,0.9971613779868547,1.5485611417531844,1.179150631914668,4,4,0,0,0,4.390043773421459,2.9097559219167977,44.60001953624731,2.9999999999495564,False,
improved_apf,57,True,True,45.800000000000004,433.28196900662175,4.821272448643051,14.908335407908487,0.983517787580968,1.5492341733001316,1.1947064429030996,5,5,0,0,0,1.2461653480711812,3.0130703614198464,45.107610986845565,2.9999999999457487,False,
improved_apf,73,True,True,46.1,432.15790146839595,4.802077397690508,14.851267687479256,0.9903407383574381,1.5494690958257775,1.1922891217745943,5,5,0,0,0,1.2461653480711812,3.057611750541566,45.83937570092754,2.9999999999416205,False,
improved_apf,91,True,True,43.25,412.92313424269605,4.756780400249122,14.924672524195088,0.9902891633889858,1.5493999040149713,1.1929579006432829,4,4,0,0,0,1.2461653480711812,2.934433495160284,43.13135742817288,2.9999999999414357,False,
