method,run_count,simulation_exception_count,success_count,success_rate_percent,average_completion_time_successful_s,average_total_flight_distance_m,average_mean_formation_error_m,maximum_formation_error_m,minimum_obstacle_clearance_m,total_local_minimum_detections,total_escape_activations,total_collisions,maximum_escape_roll_deg,maximum_escape_pitch_deg,average_attitude_change_rms_deg_per_s
standard_apf,10,0,1,10.0,55.050000000000004,120.67706699474263,0.6831367529740808,14.964936421373945,1.5497282085179183,10,0,0,0.0,0.0,13.948293586075204
improved_apf,10,0,10,100.0,46.045,433.4031364512968,4.798512694848652,14.964936421373945,1.5485611417531844,48,48,0,4.390043773421459,3.1628767736677457,45.44440659655856
