method,success,goal_and_formation_completed,completion_time_s,mean_formation_error_m,max_formation_error_m,minimum_obstacle_clearance_m,minimum_inter_uav_distance_m,obstacle_collision_count,uav_collision_count,total_flight_distance_m,avoidance_max_abs_roll_deg,avoidance_max_abs_pitch_deg,attitude_limit_sample_count,max_actual_speed_m_per_s,final_formation_error_m,final_leader_goal_distance_m
A_no_avoidance,False,True,20.650000000000002,3.9575944127017264,9.313597560580712,-4.249601097133108,4.000004851641128,5,0,244.4752169340157,0.13115068833211696,0.5267416433603745,0,2.9999999999999987,0.9850331937278662,0.2045510698816507
B_obstacle_apf,True,True,37.65,3.7225824193292723,15.637578891407426,1.049154958951881,2.9483780577953804,0,0,304.1902344081613,10.466833830277976,15.155559652120864,0,2.99999999999583,0.9800530972744469,0.15954084602538465
C_apf_and_separation,True,True,37.6,3.7270679782868585,15.637578891407426,1.049154958951881,2.972913750958639,0,0,304.14995953470145,10.541148640335127,15.155559652120864,0,2.999999999996563,0.9829141820682066,0.1601800699279214
