method,obstacle_speed_m_per_s,random_seed,success,goal_and_formation_completed,completion_time_s,minimum_obstacle_clearance_m,minimum_inter_uav_distance_m,mean_formation_error_m,max_formation_error_m,final_formation_error_m,formation_recovery_time_s,formation_recovered,total_flight_distance_m,obstacle_collision_count,uav_collision_count,total_collision_count,dynamic_max_abs_roll_deg,dynamic_max_abs_pitch_deg,attitude_change_rms_deg_per_s,max_actual_speed_m_per_s,simulation_exception,error_message
current_position,0.5,7,True,True,20.650000000000002,1.697540519552536,3.9976843861291167,4.077297599393882,5.306289329275672,0.9945601157990402,8.600000000000001,True,249.0436926260239,0,0,0,1.6058986046190333,0.5060046257615449,5.453382315510252,3.0,False,
current_position,0.5,19,True,True,20.650000000000002,1.697077693529142,3.9899533911204856,4.009114772460559,5.309577037854396,0.9944249286217461,8.600000000000001,True,245.937664616097,0,0,0,1.6073816778747374,0.5056713098751912,10.122734796635154,3.0,False,
current_position,0.5,42,True,True,20.650000000000002,1.696054791580644,4.000000409900172,3.986234784581692,5.304241050006925,0.9944302859968892,8.600000000000001,True,244.7192151290538,0,0,0,1.6117082249626087,0.5076318736078121,10.226799765904541,3.0,False,
current_position,0.5,73,True,True,20.650000000000002,1.6960226461897994,2.2959265489291285,3.9674859319069533,5.298694210981864,0.9942782171621969,8.600000000000001,True,243.7485639514738,0,0,0,1.6122042598960902,0.5092459479057747,10.56084218781031,3.0,False,
current_position,0.5,91,True,True,20.650000000000002,1.6957590998670515,4.000000236203423,4.075864037040867,5.30273269684141,0.9944980776040107,8.600000000000001,True,248.8977418759028,0,0,0,1.6128876175010791,0.508403996648149,5.641679901994659,3.0,False,
predicted_position,0.5,7,True,True,20.700000000000003,1.8999740964848655,3.9976843861291167,4.107837538191073,5.594506269727585,0.9841817807186475,8.55,True,249.34404089699723,0,0,0,2.510064234196756,0.9678541495203967,5.5486584913072505,2.9999999999999973,False,
predicted_position,0.5,19,True,True,20.700000000000003,1.8995890719390658,3.9899533911204856,4.039698962013776,5.59839302412115,0.9840081089876729,8.55,True,246.23756827070753,0,0,0,2.512538860006205,0.9712080964900642,10.168533862938085,2.9999999999999973,False,
predicted_position,0.5,42,True,True,20.700000000000003,1.899065101571061,4.000000399407985,4.017080207295012,5.59414095582801,0.9840699341182002,8.55,True,245.02030022709835,0,0,0,2.5238785396684777,0.9713673237772159,10.272205645830123,2.9999999999999973,False,
predicted_position,0.5,73,True,True,20.700000000000003,1.8990482110392486,2.2959265489291285,3.9983688673619797,5.586863196673009,0.9839062508556613,8.55,True,244.04985721634773,0,0,0,2.5225200622671196,0.9652277453159916,10.60430792492546,2.9999999999999973,False,
predicted_position,0.5,91,True,True,20.700000000000003,1.8987450225767757,4.00000023015734,4.106396050187686,5.592738872145728,0.9841129970242387,8.55,True,249.19819398904883,0,0,0,2.5229015992272745,0.9706994972068508,5.73375341384564,2.9999999999999973,False,
